flight,time,length,dayofweek,delay
3765.0,774.0,150.0,4.0,0.0
4522.0,509.0,91.0,6.0,0.0
778.0,704.8,293.0,4.0,1.0
104.0,650.0,73.0,6.0,0.0
3223.0,662.0,165.0,2.0,1.0
1812.0,1290.0,127.0,7.0,1.0
1016.0,730.0,155.0,3.0,0.0
931.0,785.0,93.0,4.0,0.0
618.0,1025.0,245.0,4.0,0.0
610.0,768.0,75.0,5.0,1.0
1048.0,620.0,180.0,1.0,1.0
2915.0,635.0,90.0,6.0,0.0
6452.0,510.0,71.0,4.0,0.0
2617.0,544.4,258.0,4.0,1.0
2501.0,680.0,121.0,1.0,0.0
6466.0,585.0,135.0,3.0,1.0
2115.0,965.0,84.0,1.0,0.0
509.0,580.0,183.0,5.0,0.0
1881.0,1080.0,366.0,5.0,1.0
1828.0,670.0,135.0,5.0,1.0
4423.0,592.0,115.0,7.0,0.0
6606.0,616.0,116.0,4.0,0.0
6673.0,561.0,44.0,3.0,0.0
132.0,569.0,36.0,2.0,0.0
854.0,480.0,94.0,4.0,1.0
388.0,530.0,70.0,4.0,0.0
3876.0,781.6,99.0,4.0,1.0
2361.0,540.0,145.0,6.0,1.0
702.0,813.0,168.0,6.0,0.0
628.0,644.6,102.0,2.0,0.0
2767.0,630.0,105.0,4.0,0.0
7000.0,1015.0,95.0,4.0,1.0
383.0,460.0,268.0,6.0,1.0
2236.0,855.0,167.0,5.0,1.0
859.0,620.0,122.0,6.0,0.0
4477.0,520.0,102.0,3.0,1.0
712.0,804.4,120.0,7.0,1.0
1060.0,661.0,75.0,1.0,1.0
1099.0,963.4,135.0,7.0,1.0
2481.0,345.0,120.0,5.0,0.0
7217.0,581.0,90.0,4.0,1.0
1040.0,705.0,212.0,6.0,0.0
547.0,876.0,156.0,1.0,0.0
56.0,991.8,323.0,7.0,1.0
81.0,360.0,111.0,4.0,0.0
1493.0,635.2,189.0,2.0,0.0
432.0,753.0,117.0,7.0,0.0
4041.0,896.0,50.0,3.0,0.0
5.0,622.0,119.0,5.0,1.0
3060.0,840.0,60.0,7.0,0.0
6698.0,477.0,145.0,4.0,0.0
2725.0,713.0,91.0,3.0,0.0
900.0,628.0,98.0,4.0,0.0
5972.0,1182.0,95.0,7.0,0.0
5354.0,704.0,95.0,1.0,1.0
402.0,1220.0,131.0,3.0,0.0
5256.0,450.0,115.0,7.0,0.0
1392.0,759.0,76.0,1.0,0.0
3503.0,677.0,165.0,7.0,0.0
7050.0,778.6,138.0,2.0,0.0
374.0,697.0,186.0,4.0,1.0
315.0,1100.0,200.0,4.0,1.0
688.0,960.0,135.0,5.0,0.0
1907.0,755.0,90.0,7.0,1.0
3846.0,830.0,75.0,7.0,1.0
14.0,942.0,306.0,1.0,0.0
6737.0,1302.0,148.0,3.0,1.0
300.0,528.0,112.0,5.0,1.0
6286.0,481.0,134.0,6.0,0.0
4048.0,724.2,73.0,4.0,0.0
840.0,589.0,92.0,2.0,0.0
2187.0,390.0,192.0,2.0,0.0
2934.0,870.0,75.0,6.0,1.0
684.0,743.6,135.0,4.0,0.0
1176.0,539.0,120.0,2.0,0.0
4203.0,405.0,75.0,3.0,0.0
2579.0,750.0,205.0,3.0,1.0
3227.0,1025.0,45.0,6.0,0.0
1470.0,755.0,64.0,3.0,0.0
1523.0,1215.0,280.0,7.0,0.0
3839.0,600.0,105.0,1.0,1.0
587.0,615.0,153.0,6.0,1.0
469.0,949.0,104.0,5.0,0.0
2356.0,687.4,140.0,3.0,1.0
1248.0,585.0,107.0,3.0,0.0
491.0,785.0,80.0,4.0,1.0
3225.0,620.0,130.0,6.0,1.0
5240.0,770.0,120.0,3.0,1.0
6496.0,1251.0,127.0,2.0,1.0
300.0,779.8,120.0,1.0,1.0
2918.0,1070.0,95.0,6.0,1.0
996.0,442.0,55.0,1.0,1.0
