flight,time,length,airline,airportfrom,airportto,dayofweek,delay
1902.0,667.0,229.0,DL,LAS,ATL,6,1
1646.0,630.0,153.0,CO,IAH,ORD,5,1
2689.0,915.0,94.0,DL,ATL,IND,4,0
3757.0,360.0,103.0,9E,BGM,DTW,5,1
1995.0,1305.0,117.0,DL,SLC,SAN,7,1
302.0,1290.0,99.0,DL,ATL,PHF,2,0
2811.0,835.0,65.0,WN,ATL,DAL,2,0
370.0,630.0,133.0,F9,ATL,MKE,2,0
7108.0,330.0,114.0,EV,PWM,IAD,7,0
2240.0,440.0,146.0,XE,IAH,RDU,4,0
4498.0,615.0,69.0,OO,ATL,BOI,6,0
3065.0,895.0,70.0,WN,MCI,OKC,6,1
1594.0,1020.0,225.0,WN,DEN,BOS,3,1
5540.0,727.0,100.0,EV,SHV,ATL,5,0
318.0,1110.0,160.0,AA,ATL,DCA,5,0
2432.0,1185.0,179.0,DL,DTW,RSW,1,1
678.0,625.0,195.0,WN,PHX,MSP,7,1
5018.0,605.0,101.0,EV,BMI,ATL,2,0
354.0,890.0,130.0,FL,ATL,LGA,4,1
264.0,630.0,214.0,UA,DEN,PHL,1,1
2434.0,420.0,128.0,DL,TPA,DCA,4,0
694.0,1225.0,55.0,AA,DFW,AUS,1,0
295.0,535.0,139.0,FL,ATL,HOU,3,0
847.0,440.0,89.0,US,PVD,PHL,7,0
852.0,735.0,95.0,WN,TUS,LAX,5,1
541.0,1120.0,130.0,WN,SJC,SEA,5,1
655.0,1266.0,145.0,UA,ORD,MSY,4,0
175.0,545.0,34.0,HA,OGG,HNL,5,0
1296.0,620.0,210.0,WN,HOU,SAN,3,1
662.0,1020.0,105.0,AA,MCI,DFW,2,0
1324.0,595.0,102.0,DL,ATL,RIC,4,0
2731.0,866.0,49.0,YV,TUS,PHX,7,0
3844.0,1110.0,110.0,WN,ATL,PHX,4,1
860.0,514.0,96.0,UA,IAD,BOS,1,0
486.0,585.0,109.0,US,ATL,DEN,7,0
3156.0,600.0,120.0,MQ,ATL,SAF,3,1
3859.0,1195.0,130.0,WN,BWI,MDW,4,1
6.0,450.0,55.0,WN,HOU,DAL,4,1
982.0,880.0,170.0,US,CLT,MSP,5,1
247.0,1050.0,345.0,AA,ATL,KOA,4,0
602.0,695.0,135.0,WN,PHX,SFO,3,1
119.0,889.0,213.0,B6,ATL,MSY,3,1
4950.0,608.0,82.0,EV,ATL,ATL,5,1
1659.0,1225.0,85.0,AA,ORD,MCI,3,0
6812.0,490.0,51.0,OO,ATL,SPI,4,0
2153.0,600.0,157.0,XE,EWR,BNA,5,0
1615.0,360.0,260.0,AA,BDL,DFW,5,0
3915.0,680.0,95.0,9E,BTV,JFK,2,0
